"control","level","title","subscription","resource","status","details"
"2.1.2","1","Ensure That NSGs Are Configured for Azure Databricks Subnets","Production","","FAIL","Non-compliant. Configuration update required."
"2.1.2","1","Ensure That NSGs Are Configured for Azure Databricks Subnets","Staging","","PASS","Compliant."
"2.1.2","1","Ensure That NSGs Are Configured for Azure Databricks Subnets","Development","","PASS","Compliant."
"2.1.7","2","Ensure That Azure Databricks Workspace Has Logging Enabled","Production","","PASS","Compliant."
"2.1.7","2","Ensure That Azure Databricks Workspace Has Logging Enabled","Staging","","PASS","Compliant."
"2.1.7","2","Ensure That Azure Databricks Workspace Has Logging Enabled","Development","","PASS","Compliant."
"2.1.9","2","Ensure That Azure Databricks Workspace Has 'No Public IP' Enabled","Production","","FAIL","Non-compliant. Configuration update required."
"2.1.9","2","Ensure That Azure Databricks Workspace Has 'No Public IP' Enabled","Staging","","PASS","Compliant."
"2.1.9","2","Ensure That Azure Databricks Workspace Has 'No Public IP' Enabled","Development","","PASS","Compliant."
"2.1.10","2","Ensure That Azure Databricks Workspace Has Public Network Access Disabled","Production","","FAIL","Non-compliant. Configuration update required."
"2.1.10","2","Ensure That Azure Databricks Workspace Has Public Network Access Disabled","Staging","","PASS","Compliant."
"2.1.10","2","Ensure That Azure Databricks Workspace Has Public Network Access Disabled","Development","","PASS","Compliant."
"2.1.11","2","Ensure That Azure Databricks Workspace Uses Private Endpoints","Production","","PASS","Compliant."
"2.1.11","2","Ensure That Azure Databricks Workspace Uses Private Endpoints","Staging","","PASS","Compliant."
"2.1.11","2","Ensure That Azure Databricks Workspace Uses Private Endpoints","Development","","PASS","Compliant."
"3.1.1","2","Ensure Only MFA Enabled Identities Can Access Privileged Virtual Machine","","","PASS","Compliant. Setting is correctly configured."
"5.1.1","1","Ensure Security Defaults Are Enabled on Microsoft Entra ID","","","PASS","Compliant. Setting is correctly configured."
"5.1.2","1","Ensure MFA Is Enabled for All Users in Administrative Roles","","","PASS","Compliant. Setting is correctly configured."
"5.1.3","1","Ensure That 'Remember Multi-Factor Authentication on Trusted Devices' Is Disabled","","","FAIL","Non-compliant. Setting needs to be updated."
"5.28","1","Ensure Privileged Users Are Protected by Phishing-Resistant MFA","","","PASS","Compliant. Setting is correctly configured."
"5.4","1","Ensure That 'Restrict Non-Admin Users From Creating Tenants' Is Set to 'Yes'","","","PASS","Compliant. Setting is correctly configured."
"5.14","1","Ensure That 'Users Can Register Applications' Is Set to 'No'","","","PASS","Compliant. Setting is correctly configured."
"5.15","1","Ensure That 'Guest Users Access Restrictions' Is Set to 'Guest user access is restricted'","","","PASS","Compliant. Setting is correctly configured."
"5.16","2","Ensure That 'Guest Invite Restrictions' Is Set to 'Only Admins and Users in the Guest Inviter Role'","","","FAIL","Non-compliant. Setting needs to be updated."
"5.3.3","1","Ensure 'User Access Administrator' Role Is Not Assigned at Subscription Level","Production","","FAIL","Non-compliant. Configuration update required."
"5.3.3","1","Ensure 'User Access Administrator' Role Is Not Assigned at Subscription Level","Staging","","PASS","Compliant."
"5.3.3","1","Ensure 'User Access Administrator' Role Is Not Assigned at Subscription Level","Development","","PASS","Compliant."
"5.23","1","Ensure That No Custom Subscription Owner Roles Are Created","Production","","FAIL","Non-compliant. Configuration update required."
"5.23","1","Ensure That No Custom Subscription Owner Roles Are Created","Staging","","PASS","Compliant."
"5.23","1","Ensure That No Custom Subscription Owner Roles Are Created","Development","","ERROR","Could not evaluate: permission denied or timeout."
